titel,fkz,titel_name,hauptgruppe,hauptgruppe_name,ansatz_2025,ansatz_2026,ansatz_2027,ist_2024,einzelplan,ministerium,kapitel,kapitel_name,seite_pdf,quelle_pdf
11202,011,"Geldbußen, Verwarnungsgelder und Zwangsgelder bei den",1,Einnahmen – Verwaltungseinnahmen,0.0,0.0,0.0,,01,Thüringer Landtag,0101,Landtag,14,ep_01.pdf
11911,011,Einnahmen aus Übernahme von,1,Einnahmen – Verwaltungseinnahmen,0.0,0.0,0.0,,01,Thüringer Landtag,0101,Landtag,14,ep_01.pdf
11931,013,Einnahmen aus Veröffentlichungen,1,Einnahmen – Verwaltungseinnahmen,33000.0,25000.0,23000.0,27522.0,01,Thüringer Landtag,0101,Landtag,14,ep_01.pdf
11941,011,Rückzahlung von Überzahlungen,1,Einnahmen – Verwaltungseinnahmen,0.0,0.0,0.0,0.0,01,Thüringer Landtag,0101,Landtag,14,ep_01.pdf
11951,011,Vermischte Einnahmen,1,Einnahmen – Verwaltungseinnahmen,3000.0,0.0,0.0,3557.0,01,Thüringer Landtag,0101,Landtag,14,ep_01.pdf
12401,011,Einnahmen aus Vermietung und Verpachtung,1,Einnahmen – Verwaltungseinnahmen,,10000.0,10000.0,,01,Thüringer Landtag,0101,Landtag,14,ep_01.pdf
12402,011,Einnahmen aus Vermietung und Verpachtung von,1,Einnahmen – Verwaltungseinnahmen,30400.0,25000.0,29600.0,,01,Thüringer Landtag,0101,Landtag,14,ep_01.pdf
23505,011,Erstattungsleistungen der Bundesagentur für Arb.eit nach,2,Einnahmen – Zuweisungen,0.0,0.0,0.0,,01,Thüringer Landtag,0101,Landtag,14,ep_01.pdf
23508,011,Zuweisungen der Bundesagentur für Arbeit,2,Einnahmen – Zuweisungen,0.0,0.0,0.0,0.0,01,Thüringer Landtag,0101,Landtag,14,ep_01.pdf
28201,011,Sonstige Zuschüsse,2,Einnahmen – Zuweisungen,0.0,0.0,0.0,0.0,01,Thüringer Landtag,0101,Landtag,14,ep_01.pdf
38101,891,Zuführungen aus anderen Kapiteln des Landeshaushalts,3,Einnahmen – Schuldenaufnahmen,,0.0,0.0,,01,Thüringer Landtag,0101,Landtag,15,ep_01.pdf
11965,332,Vermischte Einnahmen,1,Einnahmen – Verwaltungseinnahmen,0.0,0.0,0.0,0.0,01,Thüringer Landtag,0101,Landtag,16,ep_01.pdf
38165,332,Zuführungen aus anderen Kapiteln des Landesha.ushalts,3,Einnahmen – Schuldenaufnahmen,0.0,0.0,0.0,0.0,01,Thüringer Landtag,0101,Landtag,16,ep_01.pdf
41101,011,Aufwendungen für Abgeordnete,4,Ausgaben – Personal,13207700.0,13694700.0,14449700.0,11189645.0,01,Thüringer Landtag,0101,Landtag,17,ep_01.pdf
41102,011,Aufwendungen für persönliche Mitarbeiter,4,Ausgaben – Personal,8798000.0,7981900.0,8267000.0,5843696.0,01,Thüringer Landtag,0101,Landtag,17,ep_01.pdf
41103,011,Aufwendungen für ehemalige Abgeordnete,4,Ausgaben – Personal,10331900.0,7517800.0,8022100.0,5611149.0,01,Thüringer Landtag,0101,Landtag,17,ep_01.pdf
42703,011,Beschäftigungsentgelte für Praktikantinnen und,4,Ausgaben – Personal,17000.0,10000.0,10000.0,,01,Thüringer Landtag,0101,Landtag,19,ep_01.pdf
42708,011,Beschäftigung von Arbeitslosen im Rahmen von,4,Ausgaben – Personal,0.0,0.0,0.0,,01,Thüringer Landtag,0101,Landtag,19,ep_01.pdf
